no_bap,no_voucher,date,spk
BAP 18-0001,030-18-01,2018-05-17,030/ME/62.CC.0/IV/2018
BAP 18-0002,032-18-01,2018-05-08,032/ME/62.DC.1/IV/2018
BAP 18-0003,016-18-01,2018-03-09,016/ME/67.DC.5/III/2018
BAP 18-0004,035-18-01,2018-05-23,035/ME/66.CC.0/IV/2018
BAP 18-0005,033-18-01,2018-05-23,033/ME/66.CC.0/IV/2018
BAP 18-0006,034-18-01,2018-05-23,034/ME/66.CC.0/IV/2018
BAP 18-0008,037-18-01,2018-05-09,037/ME/66.DC.1/V/2018
BAP 18-0009,031-18-01,2018-04-24,031/ME/69.DC.1/IV/2018
BAP 18-0010,030-18-02,2018-06-04,030/ME/62.CC.0/IV/2018
BAP 18-0011,033-18-02,2018-06-07,033/ME/66.CC.0/IV/2018
BAP 18-0012,034-18-02,2018-06-07,034/ME/66.CC.0/IV/2018
BAP 18-0013,035-18-02,2018-06-07,035/ME/66.CC.0/IV/2018
BAP 18-0014,045-18-01,2018-05-25,045/ME/67.CC.0/V/2018
BAP 18-0015,044-18-01,2018-05-25,044/ME/67.CC.0/V/2018
BAP 18-0016,043-18-01,2018-05-25,043/ME/67.CC.0/V/2018
BAP 18-0017,042-18-01,2018-05-25,042/ME/67.CC.0/V/2018
BAP 18-0018,013-18-01,2018-06-08,013/ME/62.DC.9/II/2018
BAP 18-0019,039-18-01,2018-07-02,039/ME/62.CC.0/V/2018
BAP 18-0020,050-18-01,2018-05-29,050/ME/66.CC.0/V/2018
BAP 18-0021,051-18-01,2018-05-29,051/ME/66.CC.0/V/2018
BAP 18-0022,052-18-01,2018-05-29,052/ME/66.CC.0/V/2018
BAP 18-0023,053-18-01,2018-05-29,053/ME/66.CC.0/V/2018
BAP 18-0024,049-18-01,2018-05-29,049/ME/66.CC.0/V/2018
BAP 18-0025,048-18-01,2018-07-16,048/ME/66.CC.0/V/2018
BAP 18-0026,059-18-01,2018-07-02,059/ME/69.DC.1/VII/2018
BAP 18-0027,014-18-01,2018-07-17,014/ME/62.DC.10/III/2018
BAP 18-0028,043-18-02,2018-07-19,043/ME/67.CC.0/V/2018
BAP 18-0029,044-18-02,2018-07-19,044/ME/67.CC.0/V/2018
BAP 18-0030,042-18-02,2018-07-19,042/ME/67.CC.0/V/2018
BAP 18-0031,045-18-02,2018-07-19,045/ME/67.CC.0/V/2018
BAP 18-0032,029-18-01,2018-07-25,029/ME/62.CC.0/IV/2018
BAP 18-0033,033-18-03,2018-07-26,033/ME/66.CC.0/IV/2018
BAP 18-0034,034-18-03,2018-07-26,034/ME/66.CC.0/IV/2018
BAP 18-0035,035-18-03,2018-07-26,035/ME/66.CC.0/IV/2018
BAP 18-0036,040-18-01,2018-07-26,040/ME/62.CC.0/V/2018
BAP 18-0037,061-18-01,2018-07-06,061/ME/69.DC.1/VII/2018
BAP 18-0038,030-18-03,2018-07-30,030/ME/62.CC.0/IV/2018
BAP 18-0039,039-18-02,2018-07-30,039/ME/62.CC.0/V/2018
BAP 18-0040,048-18-2,2018-08-01,048/ME/66.CC.0/V/2018
BAP 18-0041,013-18-02,2018-08-02,013/ME/62.DC.9/II/2018
BAP 18-0042,047-18-01,2018-07-30,047/ME/66.CC.0/V/2018
BAP 18-0043,046-18-01,2018-05-28,046/ME/69.DC.4/V/2018
BAP 18-0044,057-18-01,2018-08-03,057/ME/62.CC.0/VI/2018
BAP 18-0045,038-18-01,2018-08-03,038/ME/62.CC.0/V/2018
BAP 18-0046,036-18-01,2018-05-07,036/ME/2.DC.10/V/2018
BAP 18-0047,056-18-01,2018-06-28,056/ME/62.CC.0/VI/2018
BAP 18-0048,050-18-02,2018-08-06,050/ME/66.CC.0/V/2018
BAP 18-0049,060-18-01,2018-08-09,060/ME/66.DC.5/VII/2018
