030-18-01,246888432,24688843,4937769
032-18-01,189450000,18945000,7578000
016-18-01,10000000,1000000,200000
035-18-01,48686645,4868664,973733
033-18-01,56993673,5699367,1139873
034-18-01,54390835,5439083,1087817
037-18-01,36170000,0,2170200
031-18-01,50531500,0,3031890
030-18-02,77152635,7715264,1543053
033-18-02,22452053,2245205,449041
034-18-02,20295088,2029509,405902
035-18-02,14605994,1460599,292120
045-18-01,46604400,4660440,932088
044-18-01,49907200,4990720,998144
043-18-01,124208000,12420800,2484160
042-18-01,124208000,12420800,2484160
013-18-01,55783602,5578360,1673508
039-18-01,270034223,27003422,10801369
050-18-01,83964400,8396440,1679288
051-18-01,100569600,10056960,2011392
052-18-01,92188800,9218880,1843776
053-18-01,122703800,12270380,2454076
049-18-01,43822800,4382280,876456
048-18-01,28662336,2866234,573247
059-18-01,4000000,0,240000
014-18-01,125556750,12555675,2511135
043-18-02,111787200,11178720,2235744
044-18-02,44916480,4491648,898330
042-18-02,111787200,11178720,2235744
045-18-02,41943960,4194396,838879
029-18-01,95998118,9599812,1919962
033-18-03,6908324,690832,138166
034-18-03,6494428,649443,129889
035-18-03,6259712,625971,125194
040-18-01,127997528,12799753,2559951
061-18-01,4787234,0,287234
030-18-03,77152635,7715264,3086105
039-18-02,77152635,7715264,3086105
048-18-2,17515872,1751587,700635
013-18-02,59421663,5942166,1782650
047-18-01,322609854,32260985,12904394
046-18-01,551985000,55198500,16559550
057-18-01,47123610,4712361,942472
038-18-01,62432955,6243296,1248659
036-18-01,10230000,1023000,204600
056-18-01,16242600,1624260,324852
050-18-02,346772972,34677297,6935459
060-18-01,18278000,0,365560
051-18-02,300703104,30070310,6014062
058-18-01,46069671,4606967,921393
029-18-02,102397992,10239799,2047960
040-18-02,95998146,9599815,1919963
071-18-01,46646900,4664690,932938
052-18-02,293160384,29316038,5863208
053-18-02,296943196,29694320,5938864
049-18-02,185151330,18515133,3703027
013-18-03,6063435,606344,181903
047-18-02,184348488,18434849,7373940
048-18-03,25477632,2547763,1019105
067-18-01,174020231,17402023,6960809
068-18-01,114649344,11464934,4585974
066-18-01,140017500,14001750,2800350
033-18-05,2272475,227248,45450
069-18-01,108950400,10895040,2179008
034-18-05,2136325,213632,42726
035-18-04,1830325,183032,36606
072-18-01,6377400,637740,127548
057-18-02,31415740,3141574,628315
030-18-04,77152635,7715264,1543053
039-18-03,77152635,7715264,1543053
070-18-01,134998458,13499846,2699969
046-18-02,601663650,60166365,18049910
026-18-01,87953679,8795368,1759074
021-18-01,268490729,26849073,5369815
067-18-02,174020231,17402023,3480405
068-18-02,63694080,6369408,1273882
038-18-02,41621970,4162197,832439
040-18-03,119997683,11999768,2399954
029-18-03,89598243,8959824,1791965
014-18-02,80914350,8091435,1618287
062-18-01,105339744,10533974,3160192
050-18-03,127625888,12762589,2552518
051-18-03,152865792,15286579,3057316
052-18-03,183916656,18391666,3678333
053-18-03,338048969,33804897,6760979
059-18-02,4000000,0,240000
070-18-02,115712964,11571296,2314259
074-18-01,45202767,4520277,904055
026-18-02,26231799,2623180,524636
021-18-02,69437258,6943726,1388745
047-18-03,172826708,17282671,3456534
048-18-04,15923520,1592352,318470
030-18-05,77152635,7715264,1543053
039-18-04,77152635,7715264,1543053
068-18-03,146496384,14649638,2929928
067-18-03,137384393,13738439,2747688
064-18-01,34191982,3419198,683840
073-18-01,30477900,3047790,609558
071-18-02,86296765,8629676,3451871
075-18-01,273775912,27377591,5475518
037-18-02,36170000,0,2170200
031-18-02,50531500,0,3031890
080-18-01,32485300,3248530,649706
083-18-01,37317500,3731750,746350
058-18-02,32585865,3258586,651717
050-18-04,119649270,11964927,2392985
069-18-02,387863424,38786342,7757268
049-18-03,120731814,12073181,2414636
070-18-03,89998972,8999897,1799979
081-18-01,70008700,7000870,1400174
079-18-01,20784200,2078420,415684
082-18-01,82673100,8267310,1653462
030-18-06,77152635,7715264,1543053
021-18-04,46291505,4629150,925830
026-18-04,15430470,1543047,308609
067-18-04,109907514,10990751,2198150
047-18-04,138261366,13826137,2765227
074-18-02,28852830,2885283,577057
075-18-02,189966959,18996696,3799339
029-18-04,63998745,6399874,1279975
042-18-03,117997600,11799760,2359952
046-18-03,524385750,52438575,15731572
052-18-04,87579360,8757936,1751587
051-18-04,124203456,12420346,2484069
066-18-02,126015750,12601575,2520315
084-18-01,18658700,1865870,373174
093-18-01,2659574,0,159574
026-18-05,15430470,1543047,308609
048-18-05,20700576,2070058,414012
021-18-03,50920656,5092066,1018413
068-18-04,114649344,11464934,2292987
038-18-03,74919546,7491955,1498391
057-18-03,50265184,5026518,1005304
074-18-03,21158742,2115874,423175
078-18-01,32149568,3214957,642991
058-18-03,31462214,3146221,629244
083-18-02,168301925,16830192,3366038
051-18-05,152865792,15286579,3057316
052-18-05,105095232,10509523,2101905
047-18-05,195870269,19587027,3917405
067-18-05,183179190,18317919,3663584
039-18-05,92583162,9258316,1851663
086-18-01,8380800,838080,167616
085-18-01,8764500,876450,175290
070-18-04,154283952,15428395,3085679
069-18-03,113853168,11385317,2277063
097-18-01,26293600,2629360,525872
053-18-04,279764664,27976466,5595293
045-18-03,44274180,4427418,885484
044-18-03,47411840,4741184,948237
043-18-03,117997600,11799760,2359952
064-18-02,35746163,3574616,714923
101-18-01,16242600,1624260,324852
056-18-02,25419669,2541967,508393
014-18-03,66963600,6696360,1339272
098-18-01,15037400,1503740,300748
068-18-05,70063488,7006349,1401270
048-18-06,22292928,2229293,445859
084-18-02,119602267,11960227,2392045
100-18-01,9329300,932930,186586
082-18-02,207922847,20792285,4158457
089-18-01,9002010,0,540121
046-18-04,524385750,52438575,15731572
062-18-02,4389156,438916,131675
077-18-01,19529505,1952950,585885
085-18-02,35364758,3536476,707295
086-18-02,33816528,3381653,676331
070-18-05,64284980,6428498,1285700
094-18-01,41254928,4125493,825099
040-18-04,79998455,7999846,1599969
080-18-02,53925598,5392560,1078512
092-18-01,6063829,0,363830
091-18-01,46259658,4625966,1387790
078-18-02,42866090,4286609,857322
102-18-01,23336200,2333620,466724
050-18-05,119649270,11964927,2392985
039-18-06,92583162,9258316,1851663
099-18-01,33523200,3352320,670464
068-18-06,82802304,8280230,1656046
067-18-06,109907514,10990751,2198150
047-18-07,115217805,11521780,2304356
048-18-07,19108224,1910822,382164
075-18-03,89396216,8939622,1787924
065-18-01,13394050,1339405,267881
036-18-02,25404500,2540450,508090
066-18-03,133016625,13301662,2660332
071-18-03,217141320,21714132,4342826
038-18-04,58270758,5827076,1165415
057-18-04,56548332,5654833,1130967
029-18-05,108797867,10879787,2175957
094-18-02,50775296,5077530,1015506
040-18-05,79998455,7999846,1599969
111-18-01,15037400,1503740,300748
084-18-04,35451530,3545153,709031
086-18-03,27866160,2786616,557323
085-18-03,12489413,1248941,249788
030-18-07,92583162,9258316,1851663
110-18-01,21063000,2106300,421260
109-18-01,16534600,1653460,330692
108-18-01,46672500,4667250,933450
098-18-02,83532757,8353276,1670655
077-18-02,23869395,2386940,716082
091-18-02,32146542,3214654,964396
047-18-08,23043561,2304356,460871
112-18-01,8380800,838080,167616
103-18-01,20249190,2024919,404984
044-18-04,47411840,4741184,948237
045-18-04,44274180,4427418,885484
043-18-04,117997600,11799760,2359952
042-18-04,117997600,11799760,2359952
079-18-02,32527273,3252727,650545
082-18-03,94247334,9424733,1884947
081-18-02,142817748,14281775,2856355
080-18-03,30861035,3086104,617221
056-18-03,16973517,1697352,339470
101-18-02,33134904,3313490,662698
100-18-02,26122040,2612204,522441
113-18-01,9329300,932930,186586
058-18-04,2247301,224730,44946
049-18-04,66610656,6661066,1332213
069-18-04,248406912,24840691,4968138
083-18-04,92174225,9217422,1843484
097-18-02,136069380,13606938,2721388
046-18-05,524385750,52438575,15731572
070-18-06,64284980,6428498,1285700
096-18-01,5682600,568260,170478
099-18-02,84310848,8431085,1686217
074-18-04,39521311,3952131,790426
074-18-04,39521311,3952131,790426
094-18-03,31734560,3173456,634691
106-18-01,9569979,956998,287099
078-18-03,53582613,5358261,1071652
090-18-01,81617350,8161735,2448520
087-18-01,9329300,932930,373172
088-18-01,8380800,838080,335232
114-18-01,8380800,838080,335232
085-18-04,8326275,832628,166526
