project_id,no_spk,no_bap,no,date,termyn,job_percent,payment_percent,nilai,retensi
3,249/SBM/1/38.26.1/X/12,BAP 13-0001,249/SBM/1/38.26.1/X/12,2012-10-11,1,31,16,80445200,7899760
3,239/SBM/1/38.12.5/X/12,BAP 13-0002,239/SBM/1/38.12.5/X/12,2012-10-03,0,0,30,257715300,0
3,009/SBM/1/36.26.1/I/12,BAP 13-0003,009/SBM/1/36.26.1/I/12,2012-05-12,5,10,10,124103542,6205177
3,193/SBM/1/1.12.5/VIII/12,BAP 13-0004,193/SBM/1/1.12.5/VIII/12,2012-09-16,2,50,50,27338182,0
3,069/SBM/1/35.26.1/III/12,BAP 13-0005,069/SBM/1/35.26.1/III/12,2012-08-20,6,5,5,39517402,1975870
3,297/SBM/1/1.6.6/XI/12,BAP 13-0006,297/SBM/1/1.6.6/XI/12,2012-11-23,0,0,50,95454546,0
3,304/SBM/1/27.5.6/XI/12,BAP 13-0007,304/SBM/1/27.5.6/XI/12,2012-11-16,0,0,50,72000000,0
3,304/SBM/1/27.5.6/XI/12,BAP 13-0007,304/SBM/1/27.5.6/XI/12,2012-11-16,1,25,25,36000000,0
3,304/SBM/1/27.5.6/XI/12,BAP 13-0007,304/SBM/1/27.5.6/XI/12,2012-12-16,2,75,20,28800000,0
3,202/SPK/EST/CG/IX/12,BAP 13-0008,202/SPK/EST/CG/IX/12,2012-09-03,0,0,50,35454546,0
3,202/SPK/EST/CG/IX/12,BAP 13-0008,202/SPK/EST/CG/IX/12,2012-09-03,1,100,45,31909091,0
3,300/SBM/1/38.26.1/XI/12,BAP 13-0009,300/SBM/1/38.26.1/XI/12,2012-11-26,0,0,15,32253553,0
3,175/SBM/1/35.26.1/VIII/12,BAP 13-0011,175/SBM/1/35.26.1/VIII/12,2012-10-02,3,19,19,67803012,3390151
3,135/SBM/1/35.26.1/VI/12,BAP 13-0012,135/SBM/1/35.26.1/VI/12,2012-09-28,4,14,14,113909425,5695471
3,254/SBM/1/5.26.1/X/12,BAP 13-0013,254/SBM/1/5.26.1/X/12,2012-10-22,1,31,16,69064035,6702764
3,060/SBM/1/38.4.4/III/12,BAP 13-0014,IL.005T-060/12,2013-01-07,0,0,15,37441091,0
3,060/SBM/1/38.4.4/III/12,BAP 13-0014,IL.005T-060/12,2013-01-07,1,58,43,106083091,7176209
3,060/SBM/1/38.4.4/III/12,BAP 13-0014,IL.005T-060/12,2013-01-15,2,39,39,96847622,4842381
3,242/SPK/EST/CG/X/12,BAP 13-0015,242/SPK/EST/CG/X/12,2012-10-17,2,35,30,27929219,0
3,328/SPK/EST/CG/XII/12,BAP 13-0016,328/SPK/EST/CG/XII/12,2012-12-21,1,17,17,35112794,0
3,327/SPK/EST/CG/XII/12,BAP 13-0018,327/SPK/EST/CG/XII/12,2012-12-21,1,17,17,73791139,0
3,260/SPK/EST/CG/X/12,BAP 13-0020,260/SPK/EST/CG/X/12,2012-10-18,1,100,100,2675110,0
3,221/SBM/1/35.26.1/IX/12,BAP 13-0021,221/SBM/1/35.26.1/IX/12,2012-10-20,2,14,14,144384409,7219220
3,296/SBM/1/38.26.1/XI/12,BAP 13-0022,296/SBM/1/38.26.1/XI/12,2012-11-23,0,0,15,126818182,0
3,222/SBM/1/30.26.1/IX/12,BAP 13-0023,222/SBM/1/30.26.1/IX/12,2012-09-20,1,32,17,119076160,11359808
3,290/SBM/1/34.26.1/XI/12,BAP 13-0025,290/SBM/1/34.26.1/XI/12,2012-11-14,0,0,15,98761800,0
3,232/SBM/1/34.26.1/IX/12,BAP 13-0026,232/SBM/1/34.26.1/IX/12,2012-09-21,0,0,15,197523600,0
3,276/SBM/1/38.26.1/XI/12,BAP 13-0027,276/SBM/1/38.26.1/XI/12,2012-11-07,0,0,15,84767280,0
3,278/SPK/EST/CG/XI/12,BAP 13-0028,278/SPK/EST/CG/XI/12,2013-01-07,3,33,33,45223786,0
3,245/SBM/1/38.26.1/X/12,BAP 13-0030,245/SBM/1/38.26.1/X/12,2012-10-10,1,26,11,62152376,7345281
3,025/SBM/1/5.12.5/II/12,BAP 13-0031,025/SBM/1/5.12.5/II/12,2012-05-25,2,0,10,428500,0
3,001/SBM/1/31.12.5/I/12,BAP 13-0032,001/SBM/1/31.12.5/I/12,2012-04-29,2,0,10,700000,0
3,078/SBM/1/1.12.5/IV/12,BAP 13-0033,078/SBM/1/1.12.5/IV/12,2012-07-31,2,0,10,2363636,0
3,247/SBM/1/38.26.1/X/12,BAP 13-0034,247/SBM/1/38.26.1/X/12,2012-10-15,1,27,12,81241281,9089371
3,223/SBM/1/5.26.1/IX/12,BAP 13-0035,223/SBM/1/5.26.1/IX/12,2012-09-20,1,42,27,192381520,15025076
3,333/SBM/1/38.26.1/XII/12,BAP 13-0036,333/SBM/1/38.26.1/XII/12,2012-12-14,0,0,15,311216182,0
3,332/SBM/1/38.26.1/XII/12,BAP 13-0037,332/SBM/1/38.26.1/XII/12,2012-12-14,0,0,15,81875871,0
3,166/SBM/1/38.26.1/VII/12,BAP 13-0038,166/SBM/1/38.26.1/VII/12,2012-08-10,2,20,20,338940184,16947009
3,051/SBM/1/36.26.1/II/12,BAP 13-0039,051/SBM/1/36.26.1/II/12,2012-08-27,7,13,13,414649325,20732466
3,272/SBM/1/37.3.4/XI/12,BAP 13-0040,272/SBM/1/37.3.4/XI/12,2012-11-02,0,0,30,76500000,0
3,007/SPK/EST/CG/I/13,BAP 13-0041,007/SPK/EST/CG/I/13,2013-01-17,1,17,17,3600000,0
3,238/SBM/1/26.26.1/X/12,BAP 13-0042,238/SBM/1/26.26.1/X/12,2012-10-03,1,31,16,199669536,19638677
3,183/SBM/1/38.26.1/VIII/12,BAP 13-0043,183/SBM/1/38.26.1/VIII/12,2012-08-10,1,51,36,175894810,12411991
3,187/SBM/1/38.26.1/VIII/12,BAP 13-0044,187/SBM/1/38.26.1/VIII/12,2012-09-03,2,26,26,101706825,5085341
3,188/SBM/1/38.26.1/VIII/12,BAP 13-0045,188/SBM/1/38.26.1/VIII/12,2012-09-13,2,21,21,54595200,2729760
3,265/SBM/1/31.1.8/X/12,BAP 13-0046,265/SBM/1/31.1.8/X/12,2012-10-22,1,100,100,2500000,0
3,137/SBM/Promosi/Mkt/VI/12,BAP 13-0047,137/SBM/Promosi/Mkt/VI/12,2012-11-01,2,0,5,4772727,0
