no_bap,no_voucher,date,
BAP 13-0001,249/SBM/RMH/12.02,2013-01-10,249/SBM/1/38.26.1/X/12
BAP 13-0002,239/SBM/TMN/12.01,2013-01-08,239/SBM/1/38.12.5/X/12
BAP 13-0003,009/SBM/RMH/12.06,2013-01-10,009/SBM/1/36.26.1/I/12
BAP 13-0004,193/SBM/TMN/12.02,2013-01-08,193/SBM/1/1.12.5/VIII/12
BAP 13-0005,069/SBM/RMH/12.07,2013-01-08,069/SBM/1/35.26.1/III/12
BAP 13-0006,297/SBM/ME/12.01,2013-01-08,297/SBM/1/1.6.6/XI/12
BAP 13-0007,304/SBM/ME/12.01,2013-01-08,304/SBM/1/27.5.6/XI/12
BAP 13-0007,304/SBM/ME/12.01,2013-01-08,304/SBM/1/27.5.6/XI/12
BAP 13-0007,304/SBM/ME/12.01,2013-01-08,304/SBM/1/27.5.6/XI/12
BAP 13-0008,202/SBM/PRS/12.01,2013-01-10,202/SPK/EST/CG/IX/12
BAP 13-0008,202/SBM/PRS/12.01,2013-01-10,202/SPK/EST/CG/IX/12
BAP 13-0009,300/SBM/RMH/12.01,2013-01-10,300/SBM/1/38.26.1/XI/12
BAP 13-0011,175/SBM/RMH/12.04,2013-01-10,175/SBM/1/35.26.1/VIII/12
BAP 13-0012,135/SBM/RMH/12.05,2013-01-10,135/SBM/1/35.26.1/VI/12
BAP 13-0013,254/SBM/RMH/12.02,2013-01-10,254/SBM/1/5.26.1/X/12
BAP 13-0014,060/SBM/PRS/12.05,2013-01-15,IL.005T-060/12
BAP 13-0014,060/SBM/PRS/12.05,2013-01-15,IL.005T-060/12
BAP 13-0014,060/SBM/PRS/12.05,2013-01-15,IL.005T-060/12
BAP 13-0015,242/SPK/EST/12.02,2013-01-15,242/SPK/EST/CG/X/12
BAP 13-0016,328/SPK/TMN/12.01,2013-01-15,328/SPK/EST/CG/XII/12
BAP 13-0018,327/SPK/TMN/12.01,2013-01-15,327/SPK/EST/CG/XII/12
BAP 13-0020,260/SPK/EST/12.01,2013-01-15,260/SPK/EST/CG/X/12
BAP 13-0021,221/SBM/RMH/12.03,2013-01-17,221/SBM/1/35.26.1/IX/12
BAP 13-0022,296/SBM/RMH/12.01,2013-01-17,296/SBM/1/38.26.1/XI/12
BAP 13-0023,222/SBM/RMH/12.02,2013-01-17,222/SBM/1/30.26.1/IX/12
BAP 13-0025,290/SBM/RMH/12.01,2013-01-17,290/SBM/1/34.26.1/XI/12
BAP 13-0026,232/SBM/RMH/12.01,2013-01-17,232/SBM/1/34.26.1/IX/12
BAP 13-0027,276/SBM/RMH/12.01,2013-01-17,276/SBM/1/38.26.1/XI/12
BAP 13-0028,278/SPK/EST/12.03,2013-01-17,278/SPK/EST/CG/XI/12
BAP 13-0030,245/SBM/RMH/12.02,2013-01-17,245/SBM/1/38.26.1/X/12
BAP 13-0031,025/SBM/TMN/12.02,2013-01-21,025/SBM/1/5.12.5/II/12
BAP 13-0032,001/SBM/TMN/12.02,2013-01-21,001/SBM/1/31.12.5/I/12
BAP 13-0033,078/SBM/TMN/12.02,2013-01-21,078/SBM/1/1.12.5/IV/12
BAP 13-0034,247/SBM/RMH/12.02,2013-01-21,247/SBM/1/38.26.1/X/12
BAP 13-0035,223/SBM/RMH/12.02,2013-01-21,223/SBM/1/5.26.1/IX/12
BAP 13-0036,333/SBM/RMH/12.01,2013-01-21,333/SBM/1/38.26.1/XII/12
BAP 13-0037,332/SBM/RMH/12.01,2013-01-21,332/SBM/1/38.26.1/XII/12
BAP 13-0038,166/SBM/RMH/12.03,2013-01-21,166/SBM/1/38.26.1/VII/12
BAP 13-0039,051/SBM/RMH/12.08,2013-01-21,051/SBM/1/36.26.1/II/12
BAP 13-0040,272/SBM/PRS/12.01,2013-01-22,272/SBM/1/37.3.4/XI/12
BAP 13-0041,007/SPK/TMN/13.01,2013-01-22,007/SPK/EST/CG/I/13
BAP 13-0042,238/SBM/RMH/12.02,2013-01-22,238/SBM/1/26.26.1/X/12
BAP 13-0043,183/SBM/RMH/12.02,2013-01-29,183/SBM/1/38.26.1/VIII/12
BAP 13-0044,187/SBM/RMH/12.03,2013-01-29,187/SBM/1/38.26.1/VIII/12
BAP 13-0045,188/SBM/RMH/12.03,2013-01-29,188/SBM/1/38.26.1/VIII/12
BAP 13-0046,265/SBM/KSL/12.01,2013-01-29,265/SBM/1/31.1.8/X/12
BAP 13-0047,137/SBM/Prom//12.02,2013-01-29,137/SBM/Promosi/Mkt/VI/12
BAP 13-0048,016/SBM/ME/12.02,2013-01-29,016/SBM/1/1.6.6/I/12
BAP 13-0048,016/SBM/ME/12.02,2013-01-29,IL.003/T-016/12
BAP 13-0048,016/SBM/ME/12.02,2013-01-29,IL.003/T-016/12
BAP 13-0048,016/SBM/ME/12.02,2013-01-29,IL.003/T-016/12
BAP 13-0049,120/SBM/RMH/12.06,2013-01-29,120/SBM/1/38.26.1/VI/12
BAP 13-0050,186/SBM/RMH/12.04,2013-01-29,186/SBM/1/38.26.1/VIII/12
BAP 13-0051,131/SBM/RMH/12.05,2013-01-29,131/SBM/1/38.26.1/VI/12
BAP 13-0053,196/SBM/RMH/12.04,2013-01-29,196/SBM/1/38.26.1/VIII/12
BAP 13-0054,240/SBM/RMH/12.03,2013-01-29,240/SBM/1/38.26.1/X/12
BAP 13-0056,229/SBM/RMH/12.03,2013-01-29,229/SBM/1/38.26.1/IX/12
BAP 13-0057,164/SBM/RMH/12.04,2013-01-29,164/SBM/1/38.26.1/VII/12
BAP 13-0058,192/SBM/PRS/12.02,2013-01-31,192/SBM/1/36.24.4/VIII/12
