no_voucher,dpp,ppn,pph
249/SBM/RMH/12.02,72545440,7254544,2901818
239/SBM/TMN/12.01,257715300,25771530,5154306
009/SBM/RMH/12.06,117898365,11789837,3536951
193/SBM/TMN/12.02,27338182,2733818,0
069/SBM/RMH/12.07,37541531,3754153,750831
297/SBM/ME/12.01,95454546,9545455,3818182
304/SBM/ME/12.01,136800000,13680000,2736000
304/SBM/ME/12.01,136800000,13680000,2736000
304/SBM/ME/12.01,136800000,13680000,2736000
202/SBM/PRS/12.01,67363636,6736364,1347273
202/SBM/PRS/12.01,67363636,6736364,1347273
300/SBM/RMH/12.01,32253553,3225355,967607
175/SBM/RMH/12.04,64412861,6441286,1288257
135/SBM/RMH/12.05,108213954,10821395,2164279
254/SBM/RMH/12.02,62361271,6236127,1247225
060/SBM/PRS/12.05,228353214,22835321,4567064
060/SBM/PRS/12.05,228353214,22835321,4567064
060/SBM/PRS/12.05,228353214,22835321,4567064
242/SPK/EST/12.02,27929219,0,1117169
328/SPK/TMN/12.01,35112794,3511279,1053384
327/SPK/TMN/12.01,73791139,7379114,2213734
260/SPK/EST/12.01,2675110,0,107004
221/SBM/RMH/12.03,137165188,13716519,2743304
296/SBM/RMH/12.01,126818182,12681818,2536364
222/SBM/RMH/12.02,107716352,10771635,2154327
290/SBM/RMH/12.01,98761800,9876180,1975236
232/SBM/RMH/12.01,197523600,19752360,3950472
276/SBM/RMH/12.01,84767280,8476728,1695346
278/SPK/EST/12.03,45214743,4521474,904295
245/SBM/RMH/12.02,54807095,5480710,2192284
025/SBM/TMN/12.02,428500,42850,12855
001/SBM/TMN/12.02,700000,70000,21000
078/SBM/TMN/12.02,2363636,236364,70909
247/SBM/RMH/12.02,72151910,7215191,2164557
223/SBM/RMH/12.02,177356444,17735644,7094258
333/SBM/RMH/12.01,311216182,31121618,12448647
332/SBM/RMH/12.01,81875871,8187587,3275035
166/SBM/RMH/12.03,321993174,32199317,12879727
051/SBM/RMH/12.08,393916859,39391686,11817506
272/SBM/PRS/12.01,76500000,7650000,1530000
007/SPK/TMN/13.01,3600000,360000,108000
238/SBM/RMH/12.02,180030859,18003086,3600617
183/SBM/RMH/12.02,163482820,16348282,4904485
187/SBM/RMH/12.03,96621484,9662148,2898644
188/SBM/RMH/12.03,51865440,5186544,1555963
265/SBM/KSL/12.01,2500000,0,150000
137/SBM/Prom//12.02,4772727,477273,286364
016/SBM/ME/12.02,5858724,585872,234349
016/SBM/ME/12.02,5858724,585872,234349
016/SBM/ME/12.02,5858724,585872,234349
016/SBM/ME/12.02,5858724,585872,234349
120/SBM/RMH/12.06,178103702,17810370,3562074
186/SBM/RMH/12.04,131664778,13166478,2633296
131/SBM/RMH/12.05,62892582,6289258,1257852
196/SBM/RMH/12.04,134349075,13434907,2686981
240/SBM/RMH/12.03,219521825,21952183,4390436
229/SBM/RMH/12.03,39808127,3980813,796163
164/SBM/RMH/12.04,129736686,12973669,2594734
192/SBM/PRS/12.02,37566818,3756682,751336
283/SBM/PRS/12.02,99000000,0,1980000
072/SBM/RMH/12.05,102716362,10271636,2054327
072/SBM/RMH/12.05,102716362,10271636,2054327
280/SBM/RMH/12.01,184156200,18415620,3683124
147/SBM/RMH/12.03,198635282,19863528,3972706
080/SBM/PRS/12.02,51169773,5116977,1023395
080/SBM/PRS/12.02,51169773,5116977,1023395
284/SBM/RMH/12.02,74105488,7410549,2223165
151/SBM/PRS/12.02,113799225,11379922,2275984
249/SBM/RMH/12.03,74998605,7499860,2999944
303/SBM/PRS/12.01,127462450,12746245,2549249
303/SBM/PRS/12.01,127462450,12746245,2549249
303/SBM/PRS/12.01,127462450,12746245,2549249
303/SBM/PRS/12.01,127462450,12746245,2549249
043/SBM/RMH/12.02,488440939,48844094,9768819
281/SBM/KSL/12.02,10750000,1075000,645000
315/SBM/PRS/12.01,7772727,777273,155455
264/SBM/PRS/12.03,92955583,9295558,1859112
264/SBM/PRS/12.03,92955583,9295558,1859112
264/SBM/PRS/12.03,92955583,9295558,1859112
264/SBM/PRS/12.03,92955583,9295558,1859112
018/SBM/PRS/13.01,7421875,0,296875
252/SPK/EST/12.01,18050000,0,722000
