project_id,no_spk,no_bap,date,termyn,job_percent,payment_percent,nilai,retensi
61,001/PGM/1/1.1.7/II/15,BAP 15-0001,2015-02-18,0,0,50,40984493,0
61,003/PGM/1/1.4.4/II/15,BAP 15-0002,2015-02-20,0,0,30,17360671,0
61,004/PGM/1/1.4.4/IV/15,BAP 15-0003,2015-04-16,0,0,50,77900000,0
61,001/PGM/1/1.1.7/II/15,BAP 15-0004,2015-02-18,1,100,50,40984493,0
61,002/PGM/1/1.4.4/II/15,BAP 15-0006,2015-02-20,0,0,30,10278750,0
61,002/PGM/1/1.4.4/II/15,BAP 15-0006,2015-02-20,1,100,65,22270625,0
61,003/PGM/1/1.4.4/II/15,BAP 15-0007,2015-02-20,1,100,65,37614786,0
61,006/PGM/1/1.3.4/VI/15,BAP 15-0008,2015-06-08,0,0,40,27061856,0
61,008/PGM/1/1.4.4/VI/15,BAP 15-0009,2015-06-09,0,0,50,71400000,0
61,004/PGM/1/1.4.4/IV/15,BAP 15-0011,2015-04-16,1,100,50,77900000,0
61,005/PGM/1/1.3.4/IV/15,BAP 15-0012,2015-04-20,0,0,50,74767700,0
61,005/PGM/1/1.3.4/IV/15,BAP 15-0012,2015-04-20,1,100,50,74767700,0
61,008/PGM/1/1.4.4/VI/15,BAP 15-0013,2015-06-09,1,100,50,71400000,0
61,009/PGM/1/1.3.4/VII/15,BAP 15-0016,2015-07-01,1,100,95,16926576,0
61,006/PGM/1/1.3.4/VI/15,BAP 15-0017,2015-06-09,1,85,40,27061856,0
61,006/PGM/1/1.3.4/VI/15,BAP 15-0019,2015-07-07,2,15,15,10148196,0
61,006/PGM/1/1.3.4/VI/15,BAP 15-0019,2015-08-08,0,0,40,5096000,0
61,006/PGM/1/1.3.4/VI/15,BAP 15-0019,2015-08-08,1,100,55,7007000,0
61,003/PGM/1/1.4.4/II/15,BAP 15-0020,2015-06-23,2,0,5,2893445,0
61,007/PGM/1/1.3.4/VI/15,BAP 15-0021,2015-06-10,1,100,95,14615384,0
61,002/PGM/1/1.4.4/II/15,BAP 15-0022,2015-06-15,2,0,5,1713125,0
61,015/PGM/1/1.1.7/IX/15,BAP 15-0024,2015-11-09,1,100,100,15000000,0
61,006/PGM/1/1.3.4/VI/15,BAP 15-0026,2015-11-06,3,0,5,3382732,0
61,006/PGM/1/1.3.4/VI/15,BAP 15-0026,2015-11-23,0,0,40,1027786,0
61,006/PGM/1/1.3.4/VI/15,BAP 15-0026,2015-11-23,1,100,55,1413206,0
61,006/PGM/1/1.3.4/VI/15,BAP 15-0026,2015-11-23,2,0,5,637000,0
61,006/PGM/1/1.3.4/VI/15,BAP 15-0026,2015-12-04,2,0,5,128473,0
61,009/PGM/1/1.3.4/VII/15,BAP 15-0027,2015-10-13,2,0,5,890872,0
61,009/PGM/1/1.3.4/VII/15,BAP 15-0027,2015-12-01,1,100,95,2055800,0
61,009/PGM/1/1.3.4/VII/15,BAP 15-0027,2015-12-04,2,0,5,108200,0
61,016/PGM/MKT/PROM/XII/15,BAP 15-0029,2015-12-10,1,0,50,19000000,0
61,017/PGM/1/1.1.8/XII/15,BAP 16-0001,2015-12-01,1,100,100,3404252,0
61,011/PGM/1/1.1.8/VIII/15,BAP 16-0002,2015-08-27,1,100,100,16800000,0
61,002/PGM/1/1.1.8/III/16,BAP 16-0003,2016-03-11,1,100,100,8400000,0
61,004/PGM/1/1.13.4/IV/16,BAP 16-0004,2016-04-07,0,0,50,20312500,0
61,004/PGM/1/1.13.4/IV/16,BAP 16-0006,2016-04-07,1,100,45,18281250,0
61,004/PGM/1/1.13.4/IV/16,BAP 16-0006,2016-05-02,0,0,50,3326563,0
61,004/PGM/1/1.13.4/IV/16,BAP 16-0006,2016-05-02,1,100,45,2993906,0
61,009/PGM/1/1.3.4/VI/16,BAP 16-0008,2016-06-01,1,100,100,83951250,0
61,006/PGM/1/.1.4.4/V/16,BAP 16-0010,2016-06-09,0,0,15,324276000,0
61,007/PGM/1/1.11.3/V/16,BAP 16-0011,2016-06-10,0,0,15,200460000,0
61,007/PGM/1/1.11.3/V/16,BAP 16-0014,2016-05-30,1,32,17,227188000,21382400
61,007/PGM/1/1.11.3/V/16,BAP 16-0014,2016-06-30,2,17,17,227188000,11359400
61,007/PGM/1/1.11.3/V/16,BAP 16-0014,2016-07-30,3,17,17,227188000,11359400
61,007/PGM/1/1.11.3/V/16,BAP 16-0014,2016-08-30,4,17,17,227188000,11359400
61,007/PGM/1/1.11.3/V/16,BAP 16-0014,2016-09-30,5,17,17,227188000,11359400
61,005/PGM/1/1.2.4/V/16,BAP 16-0015,2016-05-10,0,0,15,786575250,0
61,005/PGM/1/1.2.4/V/16,BAP 16-0016,2016-05-10,1,34,19,979967884,88332401
