project_id,no_spk,nilai,no_vo,date
61,010/PGM/1/1.5.6/II/18,4600000,010/PGM/RSCH/18.01,2018-09-06
61,032/PGM/1/7.26.1/VI/18,-154767600,ADD 18-0001,2018-08-28
61,055/PGM/1/1.4.5/XII/17,826500,CMPVO.001,2018-02-26
61,023/PGM/1/1.12.5/IV/17,29319000,EUPHORBIA/VO.001,2017-09-22
61,025/PGM/1/1.12.5/IV/17,5043000,EUPHORBIA/VO.002,2017-09-22
61,053/PGM/1/1.12.5/XII/17,-546877,FLORA.004,2018-06-11
61,053/PGM/1/1.12.5/XII/17,-922415,FLORA.005,2018-08-07
61,053/PGM/1/1.12.5/XII/17,-2863325,FLORA.006,2018-08-08
61,053/PGM/1/1.12.5/XII/17,-1830705,FLORAVO.001,2018-03-06
61,053/PGM/1/1.12.5/XII/17,-919809,FLORAVO.002,2018-04-10
61,053/PGM/1/1.12.5/XII/17,-705968,FLORAVO.003,2018-05-08
61,013/PGM/1/1.27.4/III/17,8999000,LIFESTONE-001,2018-02-06
61,004/PGM/1/1.12.5/I/17,-44147900,MITREKAVO.001,2017-09-05
61,008/PGM/1/1.4.4/I/17,336962680,SCPJ/ADD-001,2017-11-30
61,045/PGM/1/1.27.3/XI/16,69369000,VO.001,2017-07-25
61,004/PGM/1/1.13.4/IV/16,6653125,VO.001-004/16,2016-05-02
61,006/PGM/1/1.3.4/VI/15,12740000,VO.001-006/15,2015-08-08
61,006/PGM/1/.1.4.4/V/16,74898000,VO.001-006/16,2016-12-08
61,009/PGM/1/1.3.4/VII/15,2164000,VO.001-009/15,2015-11-23
61,022/PGM/1/1.3.4/IV/17,7830900,VO.001/ACG/18,2018-05-15
61,044/PGM/1/1.13.4/XI/16,14721000,VO.001/PGM/IJA/II/17,2017-02-22
61,043/PGM/1/1.27.3/XI/16,30568900,VO.001/PWD/X/17,2017-10-17
61,005/PGM/1/1.11.4/I/17,77460000,VO.001/SPK005,2017-10-12
61,032/PGM/1/1.12.5/VI/17,3464000,VO.002,2017-08-25
61,006/PGM/1/1.3.4/VI/15,2569465,VO.002-006/15,2015-11-23
61,050/PGM/1/1.12.5/XII/16,39600000,VO.004,2017-05-23
